Hobby,Source ID,Name,Description,URL,Type
Nauka kodowania,1,CodeMaster,Programowanie od podstaw,https://youtube.com/codemaster,youtube
Nauka kodowania,2,Kodowanie.pl,Portal programistyczny,https://kodowanie.pl,article
Nauka kodowania,3,Programowanie,Podstawy kodowania,https://wikipedia.org/wiki/Programowanie,wikipedia
Nauka sztuczek magicznych,1,MagicTricks,Nauka iluzji i sztuczek,https://youtube.com/magictricks,youtube
Nauka sztuczek magicznych,2,Magia.info,Portal o iluzji,https://magia.info,article
Nauka sztuczek magicznych,3,Iluzjonizm,Historia i techniki,https://wikipedia.org/wiki/Iluzjonizm,wikipedia
Nurkowanie jaskiniowe,1,CaveDiving,Techniki nurkowania jaskiniowego,https://youtube.com/cavediving,youtube
Nurkowanie jaskiniowe,2,JaskinioweDiving.pl,Portal o nurkowaniu jaskiniowym,https://jaskiniowediving.pl,article
Nurkowanie jaskiniowe,3,Nurkowanie jaskiniowe,Zasady bezpieczeństwa,https://wikipedia.org/wiki/Nurkowanie_jaskiniowe,wikipedia
Nurkowanie z akwalungiem,1,ScubaPro,Nauka nurkowania,https://youtube.com/scubapro,youtube
Nurkowanie z akwalungiem,2,Nurkowanie.pl,Portal nurkowy,https://nurkowanie.pl,article
Nurkowanie z akwalungiem,3,Nurkowanie,Techniki nurkowania,https://wikipedia.org/wiki/Nurkowanie,wikipedia
Obróbka wideo,1,VideoEditing,Montaż i efekty specjalne,https://youtube.com/videoediting,youtube
Obróbka wideo,2,Montaz.pl,Portal o montażu wideo,https://montaz.pl,article
Obróbka wideo,3,Montaż filmowy,Techniki montażu,https://wikipedia.org/wiki/Montaz_filmowy,wikipedia
Obróbka zdjęć,1,PhotoEditPro,Profesjonalna obróbka zdjęć,https://youtube.com/photoeditpro,youtube
Obróbka zdjęć,2,Fotoblogia.pl,Portal o edycji zdjęć,https://fotoblogia.pl,article
Obróbka zdjęć,3,Fotografia cyfrowa,Techniki obróbki cyfrowej,https://wikipedia.org/wiki/Fotografia_cyfrowa,wikipedia
Obserwacja dzikich zwierząt,1,WildlifeWatch,Techniki obserwacji zwierząt,https://youtube.com/wildlifewatch,youtube
Obserwacja dzikich zwierząt,2,DzikaPolska.pl,Portal przyrodniczy,https://dzikapolska.pl,article
Obserwacja dzikich zwierząt,3,Obserwacja przyrody,Metody obserwacji,https://wikipedia.org/wiki/Obserwacja_przyrody,wikipedia
Obserwacja ptaków,1,BirdWatching,Przewodnik ornitologiczny,https://youtube.com/birdwatching,youtube
Obserwacja ptaków,2,Ptaki.info,Portal ornitologiczny,https://ptaki.info,article
Obserwacja ptaków,3,Ornitologia,Nauka o ptakach,https://wikipedia.org/wiki/Ornitologia,wikipedia
Oglądanie filmów,1,MovieCritic,Recenzje i analizy filmowe,https://youtube.com/moviecritic,youtube
Oglądanie filmów,2,Filmweb.pl,Portal filmowy,https://filmweb.pl,article
Oglądanie filmów,3,Kinematografia,Historia kina,https://wikipedia.org/wiki/Kinematografia,wikipedia
Oglądanie gwiazd,1,StarGazing,Astronomia dla początkujących,https://youtube.com/stargazing,youtube
Oglądanie gwiazd,2,Astronomia.pl,Portal astronomiczny,https://astronomia.pl,article
Oglądanie gwiazd,3,Astronomia amatorska,Podstawy obserwacji,https://wikipedia.org/wiki/Astronomia_amatorska,wikipedia
Oglądanie seriali,1,SerialCritic,Recenzje seriali,https://youtube.com/serialcritic,youtube
Oglądanie seriali,2,Serialowa.pl,Portal o serialach,https://serialowa.pl,article
Oglądanie seriali,3,Serial telewizyjny,Historia seriali,https://wikipedia.org/wiki/Serial_telewizyjny,wikipedia
Organizowanie festynów lokalnych,1,EventPlanning,Organizacja imprez,https://youtube.com/eventplanning,youtube
Organizowanie festynów lokalnych,2,Festyny.info,Portal eventowy,https://festyny.info,article
Organizowanie festynów lokalnych,3,Imprezy masowe,Organizacja wydarzeń,https://wikipedia.org/wiki/Imprezy_masowe,wikipedia
Organizowanie wydarzeń,1,EventMaster,Profesjonalna organizacja eventów,https://youtube.com/eventmaster,youtube
Organizowanie wydarzeń,2,EventManager.pl,Portal dla organizatorów,https://eventmanager.pl,article
Organizowanie wydarzeń,3,Event management,Zarządzanie wydarzeniami,https://wikipedia.org/wiki/Event_management,wikipedia
Origami,1,OrigamiArt,Sztuka składania papieru,https://youtube.com/origamiart,youtube
Origami,2,Origami.pl,Portal o origami,https://origami.pl,article
Origami,3,Origami,Historia i techniki,https://wikipedia.org/wiki/Origami,wikipedia
Paleontologia amatorska,1,FossilHunting,Poszukiwanie skamieniałości,https://youtube.com/fossilhunting,youtube
Paleontologia amatorska,2,Paleontologia.org,Portal paleontologiczny,https://paleontologia.org,article
Paleontologia amatorska,3,Paleontologia,Podstawy paleontologii,https://wikipedia.org/wiki/Paleontologia,wikipedia
Paralotniarstwo,1,ParaglideSchool,Szkoła paralotniarska,https://youtube.com/paraglideschool,youtube
Paralotniarstwo,2,Paralotnie.pl,Portal paralotniarzy,https://paralotnie.pl,article
Paralotniarstwo,3,Paralotniarstwo,Zasady i techniki,https://wikipedia.org/wiki/Paralotniarstwo,wikipedia
Parkour,1,ParkourAcademy,Techniki parkour i freerun,https://youtube.com/parkouracademy,youtube
Parkour,2,Parkour.pl,Portal o parkour,https://parkour.pl,article
Parkour,3,Parkour,Historia i techniki,https://wikipedia.org/wiki/Parkour,wikipedia
Pieczenie,1,BakingPro,Profesjonalne wypieki,https://youtube.com/bakingpro,youtube
Pieczenie,2,Piekarnia.info,Portal o pieczeniu,https://piekarnia.info,article
Pieczenie,3,Piekarnictwo,Techniki wypieku,https://wikipedia.org/wiki/Piekarnictwo,wikipedia
Pieczenie chleba na zakwasie,1,SourdoughBaking,Wypiek chleba na zakwasie,https://youtube.com/sourdoughbaking,youtube
Pieczenie chleba na zakwasie,2,Zakwas.pl,Portal o chlebie,https://zakwas.pl,article
Pieczenie chleba na zakwasie,3,Chleb na zakwasie,Historia i techniki,https://wikipedia.org/wiki/Chleb_na_zakwasie,wikipedia
Pielęgnacja ogrodu,1,GardenMaster,Porady ogrodnicze,https://youtube.com/gardenmaster,youtube
Pielęgnacja ogrodu,2,Ogrodinfo.pl,Portal ogrodniczy,https://ogrodinfo.pl,article
Pielęgnacja ogrodu,3,Ogrodnictwo,Techniki ogrodnicze,https://wikipedia.org/wiki/Ogrodnictwo,wikipedia
Pilates,1,PilatesStudio,Ćwiczenia pilates,https://youtube.com/pilatesstudio,youtube
Pilates,2,Pilates.pl,Portal o pilatesie,https://pilates.pl,article
Pilates,3,Pilates,Metoda i ćwiczenia,https://wikipedia.org/wiki/Pilates,wikipedia
Pisanie bloga,1,BloggingTips,Porady dla blogerów,https://youtube.com/bloggingtips,youtube
Pisanie bloga,2,Blog.pl,Portal dla blogerów,https://blog.pl,article
Pisanie bloga,3,Blogowanie,Podstawy blogowania,https://wikipedia.org/wiki/Blog,wikipedia
Pisanie listów odręcznych,1,HandwritingArt,Sztuka pisania odręcznego,https://youtube.com/handwritingart,youtube
Pisanie listów odręcznych,2,Listy.art,Portal o epistolografii,https://listy.art,article
Pisanie listów odręcznych,3,Epistolografia,Historia pisania listów,https://wikipedia.org/wiki/Epistolografia,wikipedia
Pisanie opowiadań,1,CreativeWriting,Warsztaty pisarskie online,https://youtube.com/creativewriting,youtube
Pisanie opowiadań,2,Pisanie.pl,Portal dla pisarzy,https://pisanie.pl,article
Pisanie opowiadań,3,Twórczość literacka,Techniki pisania,https://wikipedia.org/wiki/Tworczość_literacka,wikipedia
Pisanie poezji,1,PoetryWorkshop,Warsztaty poetyckie,https://youtube.com/poetryworkshop,youtube
Pisanie poezji,2,Poezja.art,Portal poetycki,https://poezja.art,article
Pisanie poezji,3,Poezja,Historia i formy,https://wikipedia.org/wiki/Poezja,wikipedia
Pisanie scenariuszy,1,Screenwriting,Nauka pisania scenariuszy,https://youtube.com/screenwriting,youtube
Pisanie scenariuszy,2,Scenariusz.pl,Portal dla scenarzystów,https://scenariusz.pl,article
Pisanie scenariuszy,3,Scenariusz filmowy,Zasady pisania,https://wikipedia.org/wiki/Scenariusz_filmowy,wikipedia
Pływanie,1,SwimTechniques,Techniki pływackie,https://youtube.com/swimtechniques,youtube
Pływanie,2,Plywanie.pl,Portal pływacki,https://plywanie.pl,article
Pływanie,3,Pływanie,Style i techniki,https://wikipedia.org/wiki/Plywanie,wikipedia
Polowanie na zorze polarne,1,AuroraHunting,Fotografowanie zorzy polarnej,https://youtube.com/aurorahunting,youtube
Polowanie na zorze polarne,2,Zorza.info,Portal o zorzach,https://zorza.info,article
Polowanie na zorze polarne,3,Zorza polarna,Zjawisko zorzy,https://wikipedia.org/wiki/Zorza_polarna,wikipedia
Produkcja naturalnych perfum,1,NaturalPerfumery,Tworzenie perfum naturalnych,https://youtube.com/naturalperfumery,youtube
Produkcja naturalnych perfum,2,Perfumy.net,Portal perfumiarski,https://perfumy.net,article
Produkcja naturalnych perfum,3,Perfumiarstwo,Sztuka tworzenia perfum,https://wikipedia.org/wiki/Perfumiarstwo,wikipedia
Programowanie,1,CodingGuru,Nauka programowania,https://youtube.com/codingguru,youtube
Programowanie,2,Programista.pl,Portal programistyczny,https://programista.pl,article
Programowanie,3,Programowanie komputerów,Podstawy programowania,https://wikipedia.org/wiki/Programowanie_komputerow,wikipedia
Projektowanie gier,1,GameDesign,Projektowanie gier od podstaw,https://youtube.com/gamedesign,youtube
Projektowanie gier,2,GameDev.pl,Portal twórców gier,https://gamedev.pl,article
Projektowanie gier,3,Projektowanie gier,Podstawy game designu,https://wikipedia.org/wiki/Projektowanie_gier,wikipedia
Projektowanie tatuaży,1,TattooDesign,Projektowanie tatuaży,https://youtube.com/tattoodesign,youtube
Projektowanie tatuaży,2,Tatuaze.art,Portal o tatuażach,https://tatuaze.art,article
Projektowanie tatuaży,3,Tatuaż,Historia i style,https://wikipedia.org/wiki/Tatuaz,wikipedia
Projektowanie ubrań,1,FashionDesign,Projektowanie mody od podstaw,https://youtube.com/fashiondesign,youtube
Projektowanie ubrań,2,Moda.net,Portal o projektowaniu mody,https://moda.net,article
Projektowanie ubrań,3,Projektowanie mody,Historia i techniki,https://wikipedia.org/wiki/Projektowanie_mody,wikipedia
Projektowanie wnętrz,1,InteriorDesign,Projektowanie wnętrz dla początkujących,https://youtube.com/interiordesign,youtube
Projektowanie wnętrz,2,Wnetrza.pl,Portal o projektowaniu wnętrz,https://wnetrza.pl,article
Projektowanie wnętrz,3,Architektura wnętrz,Zasady projektowania,https://wikipedia.org/wiki/Architektura_wnetrz,wikipedia
Projektowanie zabawek,1,ToyDesign,Projektowanie zabawek,https://youtube.com/toydesign,youtube
Projektowanie zabawek,2,Zabawki.info,Portal o zabawkach,https://zabawki.info,article
Projektowanie zabawek,3,Zabawki,Historia i projektowanie,https://wikipedia.org/wiki/Zabawki,wikipedia
Prowadzenie farmy jedwabników,1,SilkFarming,Hodowla jedwabników,https://youtube.com/silkfarming,youtube
Prowadzenie farmy jedwabników,2,Jedwab.info,Portal o hodowli jedwabników,https://jedwab.info,article
Prowadzenie farmy jedwabników,3,Hodowla jedwabników,Podstawy hodowli,https://wikipedia.org/wiki/Hodowla_jedwabnikow,wikipedia
Prowadzenie kanału YouTube,1,YouTubeCreators,Prowadzenie kanału YouTube,https://youtube.com/youtubecreators,youtube
Prowadzenie kanału YouTube,2,Creators.pl,Portal dla twórców,https://creators.pl,article
Prowadzenie kanału YouTube,3,YouTube,Platforma wideo,https://wikipedia.org/wiki/YouTube,wikipedia
Prowadzenie podcastu,1,PodcastingPro,Tworzenie podcastów,https://youtube.com/podcastingpro,youtube
Prowadzenie podcastu,2,Podcast.pl,Portal o podcastach,https://podcast.pl,article
Prowadzenie podcastu,3,Podcasty,Historia i techniki,https://wikipedia.org/wiki/Podcast,wikipedia
Przygody w lesie,1,ForestAdventures,Przygody w lesie,https://youtube.com/forestadventures,youtube
Przygody w lesie,2,Survival.pl,Portal survivalowy,https://survival.pl,article
Przygody w lesie,3,Survival,Sztuka przetrwania,https://wikipedia.org/wiki/Survival,wikipedia
Rekonstrukcja historyczna,1,HistoricalReenatcment,Rekonstrukcje historyczne,https://youtube.com/historicalreenactment,youtube
Rekonstrukcja historyczna,2,Rekonstrukcje.pl,Portal rekonstruktorów,https://rekonstrukcje.pl,article
Rekonstrukcja historyczna,3,Rekonstrukcja historyczna,Historia i metody,https://wikipedia.org/wiki/Rekonstrukcja_historyczna,wikipedia
Renowacja antyków,1,AntiqueRestoration,Renowacja mebli antycznych,https://youtube.com/antiquerestoration,youtube
Renowacja antyków,2,Antyki.info,Portal o renowacji,https://antyki.info,article
Renowacja antyków,3,Renowacja,Techniki renowacji,https://wikipedia.org/wiki/Renowacja,wikipedia
Ręczne oprawianie książek,1,Bookbinding,Sztuka oprawiania książek,https://youtube.com/bookbinding,youtube
Ręczne oprawianie książek,2,Introligator.pl,Portal introligatorski,https://introligator.pl,article
Ręczne oprawianie książek,3,Introligatorstwo,Historia i techniki,https://wikipedia.org/wiki/Introligatorstwo,wikipedia
Ręczne wytwarzanie makaronu,1,PastaMaking,Domowy makaron od podstaw,https://youtube.com/pastamaking,youtube
Ręczne wytwarzanie makaronu,2,Makaron.info,Portal o makaronie,https://makaron.info,article
Ręczne wytwarzanie makaronu,3,Makaron,Historia i rodzaje,https://wikipedia.org/wiki/Makaron,wikipedia
Robienie albumów ze zdjęciami,1,Scrapbooking,Tworzenie albumów,https://youtube.com/scrapbooking,youtube
Robienie albumów ze zdjęciami,2,AlbumyFoto.pl,Portal o albumach,https://albumyfoto.pl,article
Robienie albumów ze zdjęciami,3,Album fotograficzny,Techniki tworzenia,https://wikipedia.org/wiki/Album_fotograficzny,wikipedia
Robienie eksperymentów naukowych w domu,1,HomeScienceLab,Eksperymenty domowe,https://youtube.com/homesciencelab,youtube
Robienie eksperymentów naukowych w domu,2,Eksperymenty.edu,Portal edukacyjny,https://eksperymenty.edu,article
Robienie eksperymentów naukowych w domu,3,Eksperymenty naukowe,Metodologia eksperymentów,https://wikipedia.org/wiki/Eksperymenty_naukowe,wikipedia
Robotyka,1,RoboticsMaster,Podstawy robotyki,https://youtube.com/roboticsmaster,youtube
Robotyka,2,Robotyka.info,Portal robotyczny,https://robotyka.info,article
Robotyka,3,Robotyka,Historia i zastosowania,https://wikipedia.org/wiki/Robotyka,wikipedia
Rozwiązywanie starych zagadek historycznych,1,HistoricalMysteries,Zagadki historii,https://youtube.com/historicalmysteries,youtube
Rozwiązywanie starych zagadek historycznych,2,Zagadki.pl,Portal historyczny,https://zagadki.pl,article
Rozwiązywanie starych zagadek historycznych,3,Zagadki historyczne,Metodologia badań,https://wikipedia.org/wiki/Zagadki_historyczne,wikipedia
Rozwój umiejętności barmańskich,1,Bartending,Sztuka barmańska,https://youtube.com/bartending,youtube
Rozwój umiejętności barmańskich,2,Barman.pl,Portal barmański,https://barman.pl,article
Rozwój umiejętności barmańskich,3,Bartending,Historia i techniki,https://wikipedia.org/wiki/Bartending,wikipedia
Rysowanie,1,DrawingArt,Techniki rysunku,https://youtube.com/drawingart,youtube
Rysowanie,2,Rysunek.art,Portal o rysunku,https://rysunek.art,article
Rysowanie,3,Rysunek,Historia i techniki,https://wikipedia.org/wiki/Rysunek,wikipedia
Rysowanie mandali,1,MandalaArt,Sztuka rysowania mandali,https://youtube.com/mandalaart,youtube
Rysowanie mandali,2,Mandale.pl,Portal o mandalach,https://mandale.pl,article
Rysowanie mandali,3,Mandala,Historia i symbolika,https://wikipedia.org/wiki/Mandala,wikipedia
Rzeźbienie w drewnie,1,WoodCarving,Rzeźbienie w drewnie dla początkujących,https://youtube.com/woodcarving,youtube
Rzeźbienie w drewnie,2,Rzezba.info,Portal o rzeźbieniu,https://rzezba.info,article
Rzeźbienie w drewnie,3,Rzeźbiarstwo w drewnie,Techniki rzeźbienia,https://wikipedia.org/wiki/Rzezba_w_drewnie,wikipedia
Rzeźbienie w glinie,1,ClaySculpting,Rzeźba w glinie od podstaw,https://youtube.com/claysculpting,youtube
Rzeźbienie w glinie,2,Ceramika.art,Portal ceramiczny,https://ceramika.art,article
Rzeźbienie w glinie,3,Ceramika artystyczna,Historia i techniki,https://wikipedia.org/wiki/Ceramika_artystyczna,wikipedia
Scrapbooking,1,ScrapbookingArt,Techniki scrapbookingu,https://youtube.com/scrapbookingart,youtube
Scrapbooking,2,Scrapbooking.pl,Portal dla scraporów,https://scrapbooking.pl,article
Scrapbooking,3,Scrapbooking,Historia i techniki,https://wikipedia.org/wiki/Scrapbooking,wikipedia
Składanie modeli z papieru (papercraft),1,Papercraft,Modelarstwo papierowe,https://youtube.com/papercraft,youtube
Składanie modeli z papieru (papercraft),2,Papercraft.pl,Portal modelarski,https://papercraft.pl,article
Składanie modeli z papieru (papercraft),3,Modelarstwo papierowe,Techniki składania,https://wikipedia.org/wiki/Modelarstwo_papierowe,wikipedia
Skoki spadochronowe,1,Skydiving,Nauka skoków spadochronowych,https://youtube.com/skydiving,youtube
Skoki spadochronowe,2,Spadochron.pl,Portal spadochronowy,https://spadochron.pl,article
Skoki spadochronowe,3,Spadochroniarstwo,Historia i techniki,https://wikipedia.org/wiki/Spadochroniarstwo,wikipedia
Slacklining,1,SlacklinePro,Nauka slackline,https://youtube.com/slacklinepro,youtube
Slacklining,2,Slackline.pl,Portal o slackline,https://slackline.pl,article
Slacklining,3,Slacklining,Techniki i bezpieczeństwo,https://wikipedia.org/wiki/Slacklining,wikipedia
Słuchanie muzyki,1,MusicAppreciation,Poznawanie muzyki,https://youtube.com/musicappreciation,youtube
Słuchanie muzyki,2,Muzyka.info,Portal muzyczny,https://muzyka.info,article
Słuchanie muzyki,3,Muzyka,Historia i gatunki,https://wikipedia.org/wiki/Muzyka,wikipedia
Spacery w naturze,1,NatureWalking,Spacery i wędrówki,https://youtube.com/naturewalking,youtube
Spacery w naturze,2,Spacery.pl,Portal przyrodniczy,https://spacery.pl,article
Spacery w naturze,3,Nordic walking,Techniki chodzenia,https://wikipedia.org/wiki/Nordic_walking,wikipedia
Streamowanie gier,1,StreamingPro,Jak zostać streamerem,https://youtube.com/streamingpro,youtube
Streamowanie gier,2,Streaming.pl,Portal dla streamerów,https://streaming.pl,article
Streamowanie gier,3,Streaming,Poradnik streamowania,https://wikipedia.org/wiki/Streaming,wikipedia
Strzelectwo,1,ShootingSports,Podstawy strzelectwa sportowego,https://youtube.com/shootingsports,youtube
Strzelectwo,2,Strzelectwo.pl,Portal strzelecki,https://strzelectwo.pl,article
Strzelectwo,3,Strzelectwo sportowe,Historia i techniki,https://wikipedia.org/wiki/Strzelectwo_sportowe,wikipedia
Sudoku,1,SudokuMaster,Strategie rozwiązywania sudoku,https://youtube.com/sudokumaster,youtube
Sudoku,2,Sudoku.pl,Portal łamigłówek,https://sudoku.pl,article
Sudoku,3,Sudoku,Historia i zasady,https://wikipedia.org/wiki/Sudoku,wikipedia
Survival,1,SurvivalSkills,Techniki przetrwania,https://youtube.com/survivalskills,youtube
Survival,2,Survival.pl,Portal survivalowy,https://survival.pl,article
Survival,3,Survival,Sztuka przetrwania,https://wikipedia.org/wiki/Survival,wikipedia
Survival w górach,1,MountainSurvival,Przetrwanie w górach,https://youtube.com/mountainsurvival,youtube
Survival w górach,2,GorskiSurvival.pl,Portal górski,https://gorskisurvival.pl,article
Survival w górach,3,Turystyka górska,Bezpieczeństwo w górach,https://wikipedia.org/wiki/Turystyka_gorska,wikipedia
Szachy,1,ChessMaster,Nauka szachów,https://youtube.com/chessmaster,youtube
Szachy,2,Szachy.pl,Portal szachowy,https://szachy.pl,article
Szachy,3,Szachy,Historia i strategie,https://wikipedia.org/wiki/Szachy,wikipedia
Sztuka kintsugi,1,KintsugiArt,Naprawa ceramiki złotem,https://youtube.com/kintsugiart,youtube
Sztuka kintsugi,2,Kintsugi.art,Portal o kintsugi,https://kintsugi.art,article
Sztuka kintsugi,3,Kintsugi,Japońska sztuka naprawy,https://wikipedia.org/wiki/Kintsugi,wikipedia
Sztuka przetrwania w dżungli,1,JungleSurvival,Przetrwanie w dżungli,https://youtube.com/junglesurvival,youtube
Sztuka przetrwania w dżungli,2,JungleCraft.pl,Portal survivalowy,https://junglecraft.pl,article
Sztuka przetrwania w dżungli,3,Survival w dżungli,Techniki przetrwania,https://wikipedia.org/wiki/Survival_w_dzungli,wikipedia
Szycie,1,SewingArt,Nauka szycia,https://youtube.com/sewingart,youtube
Szycie,2,Szycie.pl,Portal o szyciu,https://szycie.pl,article
Szycie,3,Krawiectwo,Historia i techniki,https://wikipedia.org/wiki/Krawiectwo,wikipedia
Taniec,1,DanceAcademy,Nauka tańca,https://youtube.com/danceacademy,youtube
Taniec,2,Taniec.pl,Portal taneczny,https://taniec.pl,article
Taniec,3,Taniec,Style i historia,https://wikipedia.org/wiki/Taniec,wikipedia
Testowanie kosmetyków DIY,1,DIYCosmetics,Tworzenie kosmetyków domowych,https://youtube.com/diycosmetics,youtube
Testowanie kosmetyków DIY,2,KosmetykiNaturalne.pl,Portal kosmetyczny,https://kosmetykinaturalne.pl,article
Testowanie kosmetyków DIY,3,Kosmetyki naturalne,Składniki i receptury,https://wikipedia.org/wiki/Kosmetyki_naturalne,wikipedia
Testowanie oprogramowania,1,TestingPro,Podstawy testowania,https://youtube.com/testingpro,youtube
Testowanie oprogramowania,2,Tester.pl,Portal dla testerów,https://tester.pl,article
Testowanie oprogramowania,3,Testowanie oprogramowania,Metodologie testów,https://wikipedia.org/wiki/Testowanie_oprogramowania,wikipedia
Tkactwo artystyczne,1,WeavingArt,Sztuka tkania,https://youtube.com/weavingart,youtube
Tkactwo artystyczne,2,Tkactwo.art,Portal tkacki,https://tkactwo.art,article
Tkactwo artystyczne,3,Tkactwo,Historia i techniki,https://wikipedia.org/wiki/Tkactwo,wikipedia
Tworzenie biżuterii,1,JewelryMaking,Tworzenie biżuterii,https://youtube.com/jewelrymaking,youtube
Tworzenie biżuterii,2,Bizuteria.info,Portal jubilerski,https://bizuteria.info,article
Tworzenie biżuterii,3,Jubilerstwo,Techniki jubilerskie,https://wikipedia.org/wiki/Jubilerstwo,wikipedia
Tworzenie chatbotów,1,ChatbotDev,Tworzenie chatbotów,https://youtube.com/chatbotdev,youtube
Tworzenie chatbotów,2,Chatboty.pl,Portal o chatbotach,https://chatboty.pl,article
Tworzenie chatbotów,3,Chatbot,Technologia chatbotów,https://wikipedia.org/wiki/Chatbot,wikipedia
Tworzenie drzewek genealogicznych,1,FamilyTree,Genealogia praktyczna,https://youtube.com/familytree,youtube
Tworzenie drzewek genealogicznych,2,Genealogia.pl,Portal genealogiczny,https://genealogia.pl,article
Tworzenie drzewek genealogicznych,3,Genealogia,Badania genealogiczne,https://wikipedia.org/wiki/Genealogia,wikipedia
Tworzenie escape roomów,1,EscapeRoomDesign,Projektowanie escape roomów,https://youtube.com/escaperoomdesign,youtube
Tworzenie escape roomów,2,EscapeRoom.pl,Portal o escape roomach,https://escaperoom.pl,article
Tworzenie escape roomów,3,Escape room,Historia i projektowanie,https://wikipedia.org/wiki/Escape_room,wikipedia
Tworzenie ilustracji książkowych,1,BookIllustration,Ilustracja książkowa,https://youtube.com/bookillustration,youtube
Tworzenie ilustracji książkowych,2,Ilustracje.art,Portal dla ilustratorów,https://ilustracje.art,article
Tworzenie ilustracji książkowych,3,Ilustracja książkowa,Techniki ilustracji,https://wikipedia.org/wiki/Ilustracja_ksiazkowa,wikipedia
Tworzenie lampionów,1,LanternMaking,Tworzenie lampionów,https://youtube.com/lanternmaking,youtube
Tworzenie lampionów,2,Lampiony.art,Portal artystyczny,https://lampiony.art,article
Tworzenie lampionów,3,Lampiony,Historia i techniki,https://wikipedia.org/wiki/Lampiony,wikipedia
